This file was produced with R
sep=;
fruit,letter,hrs,min,dates,missing_numbers,missing_NULL,missing_dates
apple,n,482,14,2024-07-16T02:14:00Z,751,(null),2024-07-16 02:14:00
apricot,d,129,38,2024-07-01T09:38:00Z,657,948,Unknown
avocado,m,248,42,2024-07-06T08:42:00Z,NA,1065,2024-07-06 08:42:00
banana,z,985,23,2024-08-06T01:23:00Z,34,109,2024-08-06 01:23:00
bell pepper,s,34,45,2024-06-27T10:45:00Z,NA,(null),2024-06-27 10:45:00
bilberry,s,337,23,2024-07-10T01:23:00Z,NA,1006,2024-07-10 01:23:00
blackberry,a,186,58,2024-07-03T18:58:00Z,NA,(null),2024-07-03 18:58:00
blackcurrant,t,1219,46,2024-08-15T19:46:00Z,NA,(null),2024-08-15 19:46:00
blood orange,w,1061,54,2024-08-09T05:54:00Z,NA,289,2024-08-09 05:54:00
blueberry,y,274,28,2024-07-07T10:28:00Z,NA,(null),2024-07-07 10:28:00
boysenberry,n,1183,18,2024-08-14T07:18:00Z,283,(null),2024-08-14 07:18:00
breadfruit,e,1237,28,2024-08-16T13:28:00Z,NA,1412,2024-08-16 13:28:00
canary melon,r,1028,31,2024-08-07T20:31:00Z,289,46,2024-08-07 20:31:00
cantaloupe,t,663,39,2024-07-23T15:39:00Z,391,(null),2024-07-23 15:39:00
cherimoya,n,1105,47,2024-08-11T01:47:00Z,NA,(null),2024-08-11 01:47:00
cherry,h,126,41,2024-07-01T06:41:00Z,274,(null),2024-07-01 06:41:00
chili pepper,b,1053,12,2024-08-08T21:12:00Z,NA,(null),2024-08-08 21:12:00
clementine,a,1385,29,2024-08-22T17:29:00Z,749,1140,2024-08-22 17:29:00
cloudberry,l,1062,22,2024-08-09T06:22:00Z,NA,1105,2024-08-09 06:22:00
coconut,x,372,26,2024-07-11T12:26:00Z,1183,(null),2024-07-11 12:26:00
cranberry,q,450,31,2024-07-14T18:31:00Z,NA,1061,Unknown
cucumber,b,691,0,2024-07-24T19:00:00Z,126,516,2024-07-24 19:00:00
currant,a,256,0,2024-07-06T16:00:00Z,NA,485,2024-07-06 16:00:00
damson,n,563,15,2024-07-19T11:15:00Z,46,242,Unknown
date,n,1011,14,2024-08-07T03:14:00Z,1105,1053,2024-08-07 03:14:00
dragonfruit,z,770,57,2024-07-28T02:57:00Z,918,148,2024-07-28 02:57:00
durian,h,342,31,2024-07-10T06:31:00Z,242,(null),2024-07-10 06:31:00
eggplant,a,577,39,2024-07-20T01:39:00Z,NA,(null),2024-07-20 01:39:00
elderberry,g,516,43,2024-07-17T12:43:00Z,NA,(null),Unknown
feijoa,q,1006,19,2024-08-06T22:19:00Z,691,(null),2024-08-06 22:19:00
fig,z,109,21,2024-06-30T13:21:00Z,NA,(null),Unknown
goji berry,j,589,4,2024-07-20T13:04:00Z,NA,126,2024-07-20 13:04:00
gooseberry,c,148,18,2024-07-02T04:18:00Z,NA,283,2024-07-02 04:18:00
