Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,105098,5997.8956,2212,226.09,1222960,4.04
hmtE4QGIOuk,How to Get Data From APIs with R & {httr2} | Ultimate Step-By-Step Tutorial,"Mar 3, 2024",2731,4338,420.8155,91,17.026,36601,4.83
efj6-aawubs,How To Create Interactive Maps with R | Step-By-Step Tutorial,"May 19, 2024",1286,4152,213.4785,100,9,43080,4.86
jX4_Dnzhl0M,How to style your Quarto docs without knowing HTML & CSS,"Jul 8, 2023",442,4013,153.5483,53,6.882,28580,7.21
RjtADzX-sJY,"Use ChatGPT, Mistral and ollama for Text Processing in R | Step-By-Step Tutorial","Mar 10, 2024",1254,3356,196.1095,67,4.481,30102,4.95
IWXcw6NHM6E,Beautiful Charts with R & ggplot2 (Step-By-Step Tutorial for Beginners),"Nov 26, 2023",2752,3144,293.1298,72,4.856,23068,3.78
fWP7KnIhmpQ,How To Make ggplot2 Even Better With These Powerful Packages  | Step-by-Step Tutorial,"Jan 7, 2024",535,3134,169.5623,78,3.698,62335,3.04
22YpMXufSvw,How to Make Great Tables with R | Step-by-Step Tutorial,"Apr 28, 2024",1334,2955,176.5318,47,3.413,27986,5.44
XHT1m-LKTVY,Write R Code Faster With These RStudio Shortcuts and Settings | Step-By-Step Tutorial,"Jun 2, 2024",731,2889,191.0942,48,4.284,30006,4.82
nTbzO-RjABo,How to Create Diverging Bar Charts With {ggplot2} | Step-by-Step Tutorial,"Feb 25, 2024",2140,2782,147.9258,70,4.155,21411,3.6
3D_BSQlBIr0,Use These Data Cleaning Helpers for R from the janitor package,"May 26, 2024",1035,2623,241.6951,43,4.136,33999,4.23
NjshpCevwQQ,"How to Create Dashboards with R, Python, OJS or Julia  | Step-By-Step Guide","May 12, 2024",1244,2453,142.3567,45,3.161,21845,4.65
BufC0agHnzw,Shiny Modules in 100 Seconds,"Mar 21, 2023",96,2227,41.5494,13,3.174,17906,7.89
xdytq0EjTA4,Summarize PDF Docs & Extract Information with AI & R | Step-By-Step Tutorial,"Mar 17, 2024",1486,2088,125.5995,34,1.713,25626,3.92
ESyWcOFuMQc,How to Make Great Tables with Python | Step-by-Step Tutorial,"May 5, 2024",1304,1849,77.4362,29,3.317,13491,4.95
mrGKySJ-cJc,How to Use Dropdown Menus in Tables With R | Step-By-Step Tutorial,"Jan 21, 2024",707,1768,77.3704,16,3.096,23819,3.04
QU8wSya-Y9E,An easy way to style your Quarto docs without knowing HTML & CSS,"Jul 15, 2023",680,1722,82.2041,13,2.645,11714,7.45
fbft9iAs8zM,How to Clean Up Messy Excel files in R | 7 Easy Strategies,"May 13, 2023",465,1716,62.0403,17,2.241,10799,6.17
yj2nIvmw8Xs,How to Create Upset Charts With {ggplot2} | Step-by-Step Tutorial,"Mar 24, 2024",1225,1702,95.1187,17,2.565,19592,4.55
E3ubwU5Uyqw,How To Create Interactive Tables With R & reactable | Step-By-Step Guide,"Aug 18, 2024",1668,1631,117.7857,16,10.627,20473,4.24
AIwX-vWB6B4,How to Avoid These Common Mistakes with {ggplot2} |  A Step-by-Step Tutorial,"Jan 14, 2024",868,1602,118.852,26,2.455,49859,2.01
